FE model,accuracies_standard,accuracies_std_standard,ind_accuracies_standard,ind_accuracies_std_standard,accuracies_single,accuracies_std_single,ind_accuracies_single,ind_accuracies_std_single,accuracies_body,accuracies_std_body,ind_accuracies_body,ind_accuracies_std_body,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
clip-vit-large-patch14-inter,0.7740147783251232,0.05147061372535473,0.7400615763546797,0.03395077188442772,0.7350985221674877,0.050085504373095904,0.7350985221674877,0.050085504373095904,0.7234298029556652,0.04640464726081656,0.7234298029556652,0.04640464726081656,0.09214901477832513,0.09583688038136094,0.06542487684729062,0.07019367240842768
clip-vit-large-patch14-un,0.7410098522167488,0.044030064662575606,0.6859790640394089,0.045204401439438664,0.6495073891625615,0.049691240736723506,0.6495073891625615,0.049691240736723506,0.6489839901477832,0.047509749121174484,0.6489839901477832,0.047509749121174484,0.14972290640394087,0.07261057921622613,0.11206280788177343,0.05333256690158799
convnext_base,0.7244150246305419,0.0764348917726742,0.6902032019704434,0.05395861475384625,0.692179802955665,0.05018601346236355,0.692179802955665,0.05018601346236355,0.6965209359605912,0.06517865868834487,0.6965209359605912,0.06517865868834487,0.12487684729064039,0.10628346382535217,0.0879125615763547,0.07949430859544704
convnext_large,0.7348830049261084,0.06186301041511725,0.6986145320197045,0.04190323418050317,0.6770935960591132,0.06279487091162686,0.6770935960591132,0.06279487091162686,0.6894088669950739,0.062038872552913786,0.6894088669950739,0.062038872552913786,0.10018472906403944,0.11105856772909944,0.06967980295566505,0.08361165313158647
convnext_large-inter,0.7278017241379311,0.052980620838088834,0.7001169950738916,0.04335344855573072,0.6841748768472906,0.0569008165931898,0.6841748768472906,0.0569008165931898,0.6779556650246306,0.04273971263909732,0.6779556650246306,0.04273971263909732,0.12835591133004925,0.08190615221145864,0.09455049261083745,0.07018816246419836
convnext_small,0.7188115763546798,0.0490912732824029,0.6903386699507388,0.04406524966534412,0.6673337438423644,0.049462958044951426,0.6673337438423644,0.049462958044951426,0.6850985221674877,0.03807410960002921,0.6850985221674877,0.03807410960002921,0.14510467980295566,0.11021088558663739,0.11282635467980295,0.0913901251932145
crnn_mobilenet,0.6007389162561576,0.047680301467694,0.5870689655172414,0.028292415255661924,0.5736145320197046,0.03751623737457062,0.5736145320197046,0.03751623737457062,0.5830972906403942,0.028665909505820143,0.5830972906403942,0.028665909505820143,0.03879310344827588,0.09454727939738539,0.029242610837438433,0.06630979748376432
crnn_mobilenet_224,0.6442426108374384,0.05948977797470198,0.6261576354679803,0.046504286174290026,0.6060036945812808,0.05092573939440258,0.6060036945812808,0.05092573939440258,0.5787869458128079,0.057710292901947784,0.5787869458128079,0.057710292901947784,0.10726600985221676,0.0884365085255258,0.07261083743842364,0.07271878526687515
crnn_mobilenet_224-inter,0.6707512315270936,0.05613119597333359,0.6461761083743843,0.05130656605744676,0.6528940886699508,0.06546832084111187,0.6528940886699508,0.06546832084111187,0.6407019704433498,0.04395792734365246,0.6407019704433498,0.04395792734365246,0.04753694581280789,0.061648848951609866,0.05398399014778323,0.050407898946873406
crnn_vgg16_bn,0.6080357142857143,0.07121731355689334,0.5791194581280787,0.04331347887850743,0.5648706896551724,0.06517574996627343,0.5648706896551724,0.06517574996627343,0.5470135467980295,0.05204769380904739,0.5470135467980295,0.05204769380904739,0.07164408866995073,0.08134683347285006,0.04233374384236453,0.0566224347425654
crnn_vgg16_bn_224,0.6795258620689655,0.0932586495482307,0.6419581280788177,0.07581607367884723,0.6352524630541871,0.07988722825086537,0.6352524630541871,0.07988722825086537,0.6191810344827586,0.06455473227059715,0.6191810344827586,0.06455473227059715,0.15384852216748768,0.09706810206166278,0.1059113300492611,0.08033415578203315
crnn_vgg16_bn_224-inter,0.7044950738916256,0.06853420613472604,0.6811699507389163,0.060752329980412835,0.6519088669950739,0.06265862323796938,0.6519088669950739,0.06265862323796938,0.6592364532019703,0.06592032772865024,0.6592364532019703,0.06592032772865024,0.14079433497536942,0.07862634431982551,0.1023029556650246,0.07436802603679867
db_mobilenet,0.6647167487684729,0.05624773339174305,0.6438977832512316,0.0434276551947382,0.6469519704433497,0.04275701962125264,0.6469519704433497,0.04275701962125264,0.5756465517241379,0.06781847200112912,0.5756465517241379,0.06781847200112912,0.11225369458128079,0.09804806262062962,0.08333128078817734,0.06865261833046027
densenet121,0.6770012315270937,0.06948168604660898,0.6395135467980296,0.04657420751720333,0.6250000000000001,0.05852491581221423,0.6250000000000001,0.05852491581221423,0.6431958128078819,0.05040363157469791,0.6431958128078819,0.05040363157469791,0.12903325123152712,0.09998973832756355,0.0862192118226601,0.07827790909753955
densenet161,0.6781096059113301,0.07075123822600043,0.6362807881773398,0.044349911961192964,0.6274630541871922,0.06100628978265444,0.6274630541871922,0.06100628978265444,0.6227524630541872,0.0699638619589473,0.6227524630541872,0.0699638619589473,0.05769704433497534,0.115473496160013,0.049464285714285704,0.0865719511577288
densenet201,0.6898399014778326,0.057987829940588966,0.6456773399014778,0.03780294531403317,0.629371921182266,0.03622155462145208,0.629371921182266,0.03622155462145208,0.6342672413793103,0.05057860370810195,0.6342672413793103,0.05057860370810195,0.08703817733990146,0.08519156543869644,0.051028325123152696,0.05035210046652432
dresnet50,0.7151477832512315,0.05070950203168809,0.6633559113300492,0.04522972880631648,0.6502155172413794,0.06579548754093513,0.6502155172413794,0.06579548754093513,0.6847906403940887,0.05503231464619683,0.6847906403940887,0.05503231464619683,0.19137931034482758,0.07765474140936335,0.13725985221674877,0.06133471645989967
dresnet50-inter,0.7090517241379312,0.04969101182377227,0.6839470443349753,0.047230212460588075,0.6520935960591132,0.06040119389210726,0.6520935960591132,0.06040119389210726,0.699076354679803,0.0703811538616609,0.699076354679803,0.0703811538616609,0.15972906403940884,0.08994414939794552,0.12365763546798032,0.06823860287279916
efficientnet_v2_l,0.7063115763546799,0.04290339969079406,0.6713608374384237,0.039949697286628,0.6370689655172413,0.05072333295299482,0.6370689655172413,0.05072333295299482,0.6656096059113301,0.058877018091103704,0.6656096059113301,0.058877018091103704,0.0791564039408867,0.08127320156973422,0.060634236453201984,0.05775380565128323
efficientnet_v2_s,0.7278940886699508,0.06160110340089077,0.6896798029556651,0.05232053539142465,0.6905788177339901,0.06808657671453967,0.6905788177339901,0.06808657671453967,0.6555726600985221,0.04964044390518076,0.6555726600985221,0.04964044390518076,0.11416256157635465,0.11492932571367702,0.07067733990147786,0.06968876457946574
googlenet,0.6635467980295567,0.0789843432257254,0.6257081280788177,0.05664144589226289,0.6057881773399015,0.06366310193653169,0.6057881773399015,0.06366310193653169,0.6095135467980296,0.05613522348183775,0.6095135467980296,0.05613522348183775,0.08285098522167489,0.09630303181846726,0.047869458128078815,0.07644395404715955
inception_net,0.6788793103448276,0.0506317169493735,0.6290270935960592,0.04389777590940156,0.6062807881773399,0.0475223869969567,0.6062807881773399,0.0475223869969567,0.617456896551724,0.05399797804507491,0.617456896551724,0.05399797804507491,0.09769088669950737,0.11378791782135501,0.05550492610837439,0.07491243867459146
linknet_resnet18,0.7168103448275862,0.06433076012714857,0.684365763546798,0.04575786480034771,0.6884852216748769,0.053955048807815195,0.6884852216748769,0.053955048807815195,0.6770628078817735,0.056301711153786696,0.6770628078817735,0.056301711153786696,0.16622536945812807,0.10132977591648139,0.13793103448275865,0.07927644190160478
linknet_resnet50,0.693103448275862,0.0512611225619025,0.6641071428571428,0.049211786062526776,0.656588669950739,0.05938116010976017,0.656588669950739,0.05938116010976017,0.6643472906403942,0.07413506696266409,0.6643472906403942,0.07413506696266409,0.17438423645320195,0.1056018505099656,0.1477955665024631,0.08826207761367273
linknet_resnet50_224,0.6663485221674876,0.056513886339836554,0.6124568965517241,0.05162923097100497,0.5946428571428571,0.05076263703733009,0.5946428571428571,0.05076263703733009,0.6208435960591132,0.0498491397375176,0.6208435960591132,0.0498491397375176,0.13617610837438424,0.10053691095754987,0.08369458128078819,0.08047396242244827
maxvit,0.683435960591133,0.06878147725574446,0.6469519704433497,0.05193558885680118,0.6397783251231528,0.04861744696240413,0.6397783251231528,0.04861744696240413,0.6184729064039409,0.045089030809741186,0.6184729064039409,0.045089030809741186,0.13922413793103447,0.09789554033975938,0.09238916256157635,0.061362221268743126
mobilenet_v3_large,0.708743842364532,0.0740615349474418,0.6648275862068964,0.055492218638675816,0.644027093596059,0.0606372038893848,0.644027093596059,0.0606372038893848,0.65935960591133,0.06180916579906994,0.65935960591133,0.06180916579906994,0.10615763546798032,0.07801444682224037,0.0654002463054187,0.05071277656274027
mobilenet_v3_small,0.6803879310344827,0.06585812792636454,0.6473645320197045,0.05289196535419473,0.6361453201970444,0.055333610071132085,0.6361453201970444,0.055333610071132085,0.6193657635467981,0.05475607012224406,0.6193657635467981,0.05475607012224406,0.07136699507389163,0.08318094925147856,0.05619458128078817,0.06166868816232997
regnet_x_32,0.7092364532019705,0.06211848784825308,0.6599630541871921,0.04735159057155465,0.6470443349753694,0.04928228453882708,0.6470443349753694,0.04928228453882708,0.6788485221674876,0.051127743154602376,0.6788485221674876,0.051127743154602376,0.14796798029556651,0.09048709745721567,0.07579433497536944,0.07313001873753226
regnet_x_3_2,0.6707204433497538,0.05781954947254841,0.6239285714285714,0.040948046223290305,0.6132389162561577,0.061411540514425884,0.6132389162561577,0.061411540514425884,0.6239532019704432,0.04902715391950435,0.6239532019704432,0.04902715391950435,0.05477216748768472,0.07729524450231223,0.04022167487684728,0.0557979417068511
regnet_y_128,0.6835283251231526,0.0498345336082077,0.6314593596059115,0.03235509561411913,0.648152709359606,0.041021777434469275,0.648152709359606,0.041021777434469275,0.6469519704433497,0.05004287462950351,0.6469519704433497,0.05004287462950351,0.1729987684729064,0.08466770600061417,0.11745689655172417,0.0545612630654518
regnet_y_32,0.6915332512315271,0.05698016648598448,0.65246921182266,0.046400154717916475,0.6505541871921182,0.027133102075266737,0.6505541871921182,0.027133102075266737,0.6715517241379311,0.04085228015907366,0.6715517241379311,0.04085228015907366,0.09217980295566504,0.09216133231203882,0.06043719211822661,0.06450693627264341
regnet_y_3_2,0.6930418719211823,0.05852734527027461,0.644070197044335,0.05115350587592967,0.5980603448275861,0.06444300898118849,0.5980603448275861,0.06444300898118849,0.6502155172413795,0.0494957560683607,0.6502155172413795,0.0494957560683607,0.13075738916256158,0.11777116116512377,0.09663177339901477,0.08058037406767729
resnet101,0.6825738916256158,0.05955678266842634,0.6501785714285714,0.04792830246834988,0.6237992610837437,0.057718669223482615,0.6237992610837437,0.057718669223482615,0.6680418719211823,0.05544638745554542,0.6680418719211823,0.05544638745554542,0.0919642857142857,0.09133213561785222,0.04974137931034484,0.06513720033796869
resnet18,0.6398399014778324,0.07049535288976942,0.5968965517241378,0.05189929876929733,0.5860221674876847,0.06416779121677134,0.5860221674876847,0.06416779121677134,0.5831588669950738,0.057397032497554665,0.5831588669950738,0.057397032497554665,0.11773399014778327,0.08139793207964016,0.06233990147783253,0.061547956505762134
