FE model,generalization_standard,generalization_std_standard,generalization_ind_standard,generalization_ind_std_standard
crnn_vgg16_bn_224-inter,0.14079433497536942,0.07862634431982551,0.1023029556650246,0.07436802603679867
db_mobilenet,0.11225369458128079,0.09804806262062962,0.08333128078817734,0.06865261833046027
densenet121,0.12903325123152712,0.09998973832756355,0.0862192118226601,0.07827790909753955
densenet161,0.05769704433497534,0.115473496160013,0.049464285714285704,0.0865719511577288
densenet201,0.08703817733990146,0.08519156543869644,0.051028325123152696,0.05035210046652432
dresnet50,0.19137931034482758,0.07765474140936335,0.13725985221674877,0.06133471645989967
dresnet50-inter,0.15972906403940884,0.08994414939794552,0.12365763546798032,0.06823860287279916
efficientnet_v2_l,0.0791564039408867,0.08127320156973422,0.060634236453201984,0.05775380565128323
efficientnet_v2_s,0.11416256157635465,0.11492932571367702,0.07067733990147786,0.06968876457946574
googlenet,0.08285098522167489,0.09630303181846726,0.047869458128078815,0.07644395404715955
inception_net,0.09769088669950737,0.11378791782135501,0.05550492610837439,0.07491243867459146
linknet_resnet18,0.16622536945812807,0.10132977591648139,0.13793103448275865,0.07927644190160478
linknet_resnet50,0.17438423645320195,0.1056018505099656,0.1477955665024631,0.08826207761367273
linknet_resnet50_224,0.13617610837438424,0.10053691095754987,0.08369458128078819,0.08047396242244827
maxvit,0.13922413793103447,0.09789554033975938,0.09238916256157635,0.061362221268743126
mobilenet_v3_large,0.10615763546798032,0.07801444682224037,0.0654002463054187,0.05071277656274027
mobilenet_v3_small,0.07136699507389163,0.08318094925147856,0.05619458128078817,0.06166868816232997
regnet_x_32,0.14796798029556651,0.09048709745721567,0.07579433497536944,0.07313001873753226
regnet_x_3_2,0.05477216748768472,0.07729524450231223,0.04022167487684728,0.0557979417068511
regnet_y_128,0.1729987684729064,0.08466770600061417,0.11745689655172417,0.0545612630654518
regnet_y_32,0.09217980295566504,0.09216133231203882,0.06043719211822661,0.06450693627264341
regnet_y_3_2,0.13075738916256158,0.11777116116512377,0.09663177339901477,0.08058037406767729
resnet101,0.0919642857142857,0.09133213561785222,0.04974137931034484,0.06513720033796869
resnet18,0.11773399014778327,0.08139793207964016,0.06233990147783253,0.061547956505762134
resnet34,0.07675492610837438,0.08927770369194965,0.040517241379310356,0.052934051609494666
resnet34_layer1,0.01588669950738918,0.06459873210948212,0.011206896551724155,0.05656333019711355
resnet34_layer2,0.15584975369458126,0.083836585670555,0.1250985221674877,0.08155620787426579
resnet34_layer3,0.11222290640394088,0.08040888218828254,0.08511083743842365,0.06013630025784744
resnet50,0.11699507389162563,0.09994849616432679,0.07455665024630538,0.07710399644981816
sar_resnet31,0.0104987684729064,0.07773011201866199,0.021724137931034476,0.044127428817401095
sar_resnet31_224,0.13617610837438426,0.0961008015119479,0.1044150246305419,0.0730154983914427
swin_b,0.06828817733990149,0.07903773080237071,0.04743226600985221,0.06466703239804343
swin_s,0.12127463054187193,0.11564401303638128,0.07214285714285715,0.08409486703798819
trocr-base-handwritten,0.05024630541871922,0.08869462061030342,0.04011083743842364,0.05616372660553657
trocr-base-stage1,0.10982142857142856,0.10802189425691981,0.08103448275862069,0.0792342845055262
trocr-large-handwritten,0.08220443349753695,0.08088013753435996,0.058423645320197046,0.05231969183866198
trocr-large-handwritten-inter,0.12866379310344828,0.07710517149559735,0.07931034482758617,0.06287917329393308
trocr-large-stage1,0.1506465517241379,0.10597669448065998,0.1271428571428571,0.09058026524815127
trocr-large-stage1-inter,0.10914408866995073,0.12060525270169607,0.07002463054187191,0.08447550019803765
trocr-small-handwritten,0.023891625615763558,0.08312388239727228,0.02514162561576354,0.053363978537318224
trocr-small-stage1,0.024907635467980305,0.10655137878454994,0.020443349753694585,0.06515163602452799
vgg11,0.1131773399014778,0.08348050634983975,0.07644704433497537,0.05557477855765935
vgg16,0.08565270935960588,0.09345779504271129,0.04982758620689656,0.055927974888352903
vgg16_512,0.10166256157635471,0.07382460527922553,0.0697229064039409,0.059357143764218065
vit-base-patch16-224,0.10043103448275863,0.06837967547242803,0.07470443349753694,0.049939378790984756
vit-base-patch16-224-in21k,0.11788793103448274,0.08218043943290416,0.08674261083743842,0.06093704171448758
vit-base-patch32-224-in21k,0.1131773399014778,0.08501052317763652,0.07926108374384237,0.0742172566306562
vit-huge-patch14-224-in21k,0.10862068965517238,0.08787560691822877,0.07839901477832513,0.06416836911020403
vit-large-patch16-224-in21k,0.06807266009852217,0.10798647181146188,0.06032019704433498,0.07100961727362634
vitstr_base,0.02450738916256157,0.09142079442888046,0.016773399014778347,0.052100286053325194
vitstr_base_224,0.019242610837438435,0.09344135739539794,0.011249999999999993,0.05803553984633594
vitstr_small,0.05945197044334973,0.06988264520077377,0.04317118226600984,0.056566446841609164
vitstr_small_224,0.03907019704433497,0.08713097159983849,0.01794334975369459,0.05451468573655296
